,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,Shallow,24.24242424,23.517444,90.864167,6.72,,-96.0,,,1416.0,29.6,0.3,14.03,614.88,229.4428,9.6192,0.9276,700.4,0.0,85.1169,499.296,0.303891,,,0.0844825,20.57465,2.786645,15.15481,39.62022,0.0534545,302.5143,3645.64,0.714188,12.5134,26.76991662,0.2454205,49.1848,0.0,13.6364,3.727,0.0,3.4724
1,Deep,181.8181818,23.543861,90.839027,6.74,6.56896425,-33.0,-6.915089299799998,0.0,465.0,31.4,1.2,6.51,175.68,37.9805,1.3602,0.2023,0.0,0.2653898,60.3281,8.9017,0.0529508,0.09084828387951807,0.0,0.1040425,28.42261,2.297355,2.92513,14.02576,0.1289995,33.61601,164.7,0.215477,26.2947,56.25225171,0.1604385,79.1081,0.0,0.0,4.2555,0.0,2.7421
2,Deep,242.4242424,23.52825,90.829556,6.73,6.56896425,-19.0,-6.915089299799998,0.0,496.0,31.1,1.5,6.23,204.96,55.9389,3.0727,1.5851,0.0,0.1919567,63.0547,6.3085,0.0327203,0.09084828387951807,0.0,0.0943418,33.62682,2.0164,3.31112,18.16527,0.1039115,33.83049,117.8655,0.73666,29.2443,62.56233099,0.2210855,51.7614,0.0,0.0,3.3989,0.0,0.0
3,Deep,303.030303,23.52561,90.845861,6.72,6.56896425,-25.0,-6.915089299799998,0.0,761.0,32.1,5.3,5.85,175.68,149.4432,3.4314,13.473,0.0,0.0618384,35.3815,16.1238,0.029001,0.09084828387951807,0.0,0.0897042,54.78607,0.0603987,6.21249,26.81251,0.0575501,58.74206,156.798,5.17371,23.5847,50.45474871,0.3765085,43.7514,0.0,1.2759,154.386,0.0,0.0
4,Shallow,84.84848485,23.543278,90.786805,6.72,6.56896425,17.0,-6.915089299799998,0.0,1261.0,31.0,2.4,16.93,263.52,306.539,1.9414,0.3956,0.0,0.0,43.36,5.8024,0.0329363,0.09084828387951807,0.0,0.0801126,113.234,0.1261855,3.84138,36.31868,3.17933,136.1009,38.0107,0.540185,14.1276,30.22317468,0.6761595,69.2219,0.0,1.7589,3.1335,0.0,6.01
5,Deep,212.1212121,23.5278055,90.78244,6.76,6.56896425,16.0,-6.915089299799998,0.0,615.0,31.1,0.1,8.61,234.24,79.4907,1.7868,0.1402,0.0,0.0,53.7453,7.3868,0.0412557,0.09084828387951807,0.0,0.0506746,49.9017,0.45434,3.43932,15.26033,1.301835,57.70376,68.7503,0.510779,17.4373,37.30361589,0.2611835,44.6332,0.0,1.8011,5.0403,0.0,0.0
6,Shallow,12.12121212,23.52477,90.7936945,6.72,6.56896425,-4.0,-6.915089299799998,0.0,1005.0,29.6,0.0,12.23,512.4,117.1282,0.0241,0.0968,0.0,7.5558795,48.8986,97.8522,0.0748464,0.09084828387951807,0.0,0.107049,80.71223,7.971585,11.14129,56.815,0.237294,76.4245,2810.825,0.378553,21.5728,46.15069104,0.411515,46.2821,0.0,0.8717,1.1542,0.0,0.0
7,Shallow,15.15151515,23.51835,90.81829,6.78,6.56896425,-22.0,-6.915089299799998,0.0,652.0,29.2,0.2,7.03,380.64,22.003,1.2977,0.0529,120.7,3.6626369,48.5441,226.4225,0.0621424,0.09084828387951807,0.0,0.0663734,38.71376,5.22287,8.29451,48.43814,0.0914913,20.88066,2380.86,0.401981,18.8238,40.26975534,0.2607955,63.7598,0.0,0.9402,6.9799,0.0,5.7857
8,Shallow,121.2121212,23.52678,90.816944,6.77,6.56896425,-27.0,-6.915089299799998,0.0,628.0,32.1,3.6,3.95,190.32,96.1316,0.5687,0.1283,0.0,0.2035514,35.5905,2.6,0.0255068,0.09084828387951807,0.0,0.1082055,56.41557,1.779695,6.27256,16.35852,0.275167,44.6052,92.2964,0.339429,20.7,44.28351,0.261514,435.776,0.0,0.8296,4.0695,0.0,0.0
9,Shallow,36.36363636,23.53425,90.80952,6.7,6.56896425,-17.0,-6.915089299799998,0.0,927.0,31.1,0.1,8.76,570.96,149.5486,12.4828,0.3432,0.0,0.0,19.9735,289.8865,0.1318875,0.09084828387951807,0.0,0.0621996,68.92377,7.02504,13.22121,79.96988,0.0999165,87.04238,2032.855,0.3063375,15.4052,32.95634436,0.467775,35.5318,0.0,0.5014,1.5049,0.0,2.9501
10,Shallow,21.21212121,23.49713,90.82867,6.85,6.56896425,-55.0,-6.915089299799998,0.0,650.0,29.6,0.0,12.35,395.28,15.2508,4.2876,0.1487,2426.0,4.0413971,24.4053,262.2135,0.267894,0.09084828387951807,0.0,0.0388119,6.101313,0.597388,6.64889,6.457907,0.0165735,144.9117,9149.1,0.457784,15.6902,33.56604486,0.0460076,23.6299,0.0,1.8585,15.3575,0.0,2.5272
11,Deep,212.1212121,23.48402,90.83628,6.86,6.56896425,-29.0,-6.915089299799998,0.0,389.0,33.2,0.4,6.13,204.96,10.1105,3.2915,0.2234,0.0,0.0,43.4988,2.6,0.0289664,0.09084828387951807,0.0,0.0843776,29.56963,1.123585,3.6711,13.10439,0.0737854,26.07921,131.745,0.367637,27.6142,59.07505806,0.155101,55.8647,0.0,0.853,8.1578,0.0,0.0
12,Deep,227.2727273,23.4971389,90.8190278,6.9,6.56896425,-34.0,-6.915089299799998,0.0,490.0,29.5,0.0,4.93,234.24,38.514,2.1127,0.0216,0.0,0.0,25.2934,2.6,0.0332126,0.09084828387951807,0.0,0.100941,32.84646,0.909226,4.53957,15.47789,0.0541097,42.52794,85.6386,0.35812,25.2028,53.91635004,0.1806825,46.2816,0.0,0.8863,2.632,0.0,0.0
13,Shallow,71.21212121,23.461888,90.791611,6.95,6.56896425,-4.0,-6.915089299799998,0.0,2230.0,29.8,0.4,6.25,219.6,866.47,1.363,38.946,1000.0,0.8915036,27.8395,8.3474,0.121368,0.09084828387951807,0.0,0.0562854,89.451,0.7409,8.18276,66.17405,2.20009,543.561,63.4368,14.0352,13.8189,29.56277277,0.5800575,53.3424,0.0,1.6436,7.2083,0.0,3.4938
